artist_id,artist_name,purpose_premium_pack
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,False
757aE44tKEUQEqRuT6GnEB,Roddy Ricch,False
4kYSro6naA4h99UJvo89HB,Cardi B,False
4r63FhuTkUYltbVAg5TQnk,DaBaby,False
6fWVd57NKTalqvmjRd2t8Z,24kGoldn,False
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,False
45dkTj5sMRSjrmBSBeiHym,Tate McRae,False
0eDvMgVFoNV3TpwtrVCoTj,Pop Smoke,False
4q3ewBCX7sLwd24euuV69X,Bad Bunny,False
5cj0lLjcoR7YOSnhnX0Po5,Doja Cat,False
0Cp8WN4V8Tu4QJQwCN5Md4,BENEE,False
6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,False
6KImCVD70vtIoJWnq6nGn3,Harry Styles,False
4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,False
3Nrfpe0tUJi4K4DXYWgMUX,BTS,False
0H39MdGGX6dbnnQPt6NQkZ,SAINt JHN,False
181bsRPaVXVlUKXrxwZfHK,Megan Thee Stallion,False
7ITE6G1y6F5R30LjysYEBF,Jawsh 685,False
0u6GtibW46tFX7koQ6uNJZ,Topic,False
7uaIm6Pw7xplS8Dy06V6pT,Trevor Daniel,False
1uNFoZAHBGtllmzznpCI3s,Justin Bieber,False
06HL4z0CvFAxyc27GXpf02,Taylor Swift,False
4GNC7GD6oZMSxPGyXy4MNB,Lewis Capaldi,False
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,False
5zctI4wO9XSKS8XwcnqEHk,Lil Mosey,False
4ETSs924pXMzjIeD6E9b4u,Surfaces,False
2LIk90788K0zvyj2JJVwkJ,Jack Harlow,False
6MPCFvOQv5cIGfw3jODMF0,Internet Money,False
3TVXtAsR1Inumwj472S9r4,Drake,False
790FomKkXshlbRYZFtlgla,KAROL G,False
1HY2Jd0NmPuamShAr6KMms,Lady Gaga,False
1lmU3giNF3CSbkVSQmLpHQ,Surf Mesa,False
26VFTg2z8YR0cCuwLzESi2,Halsey,False
2tIP7SsRs7vjIcLrU85W8J,The Kid LAROI,False
5YGY8feqx7naU7z4HrwZM6,Miley Cyrus,False
6TIYQ3jFPwQSRmorSezPxX,Machine Gun Kelly,False
2PaZWGu5T5nHjY2xxAkFsT,THE SCOTTS,False
41MozSoPIsD1dJM0CLPjZF,BLACKPINK,False
7bXgB6jMjp9ATFy66eO08Z,Chris Brown,False
03d2mJXSMtuPI0nIvLnhoS,Zoe Wees,False
6bmlMHgSheBauioMgKv2tn,Powfu,False
6DgP9otnZw5z6daOntINxp,Joel Corry,False
1XLWox9w1Yvbodui0SRhUQ,StaySolidRocky,False
5f7VJjfbwm532GiveGC0ZK,Lil Baby,False
1r4hJ1h58CWwUQe3MxPuau,Maluma,False
4Uc8Dsxct0oMqx0P6i60ea,Conan Gray,False
7MPGCB854Qo4alYMOPkBka,Ritt Momney,False
2JbE7jUIGtpXSzytnyMg6U,Curtis Waters,False
1RyvyyTE3xzB2ZywiAwp0i,Future,False
66W9LaWS0DPdL7Sz8iYGYe,JP Saxe,False
7kwCkEJ384PWm0UQW3hxjS,Yella Beezy,False
59KQTERLpPa7M0F25fRH6V,Dinah Jane,False
7licaqhcEBQUzz9FownRaJ,Miquela,False
72FGvJgYbs0NBeJqECy6cF,Andra,False
1vyhD5VmyZ7KMfW5gqLgo5,J Balvin,False
4npEfmQ6YuiwW1GpUmaq3F,Ava Max,False
56mfhUDKa1vec6rSLZV5Eg,Jawsh 685,False
64KEffDW9EtZ1y2vBYgq8T,Marshmello,False
4rTv3Ejc7hKMtmoBOK1B4T,Ali Gatie,False
1yxSLGMDHlW21z4YXirZDS,Black Eyed Peas,False
3e7awlrlDSwF3iM0WBjGMp,Little Mix,False
4IWBUUAFIplrNtaOHcJPRM,James Arthur,False
7n2wHs1TKAczGzO7Dd2rGr,Shawn Mendes,False
07YZf4WDAMNwqr4jfgOZ8y,Jason Derulo,False
64M6ah0SkkRsnPGtGiRAbb,Bebe Rexha,False
6MDME20pz9RveH9rEXvrOM,Clean Bandit,False
2wY79sveU1sp5g7SokKOiI,Sam Smith,False
3QJUFtGBGL05vo0kCJZsmT,salem ilese,False
5ZsFI1h6hIdQRw2ti0hz81,ZAYN,False
63yrD80RY3RNEM2YDpUpO8,Melanie Martinez,False
3oSJ7TBVCWMDMiYjXNiCKE,Kane Brown,False
2jnIB6XdLvnJUeNTy5A0J2,Why Don't We,False
6jJ0s89eD6GaHleKKya26X,Katy Perry,False
23fqKkggKUBHNkbKtXEls4,Kygo,False
6s22t5Y3prQHyaHWUN1R1C,AJR,False
4nDoRrQiYLoBzwC5BhVJzF,Camila Cabello,False
3t5xRXzsuZmMDkQzgOX35S,Robin Schulz,False
2kRfqPViCqYdSGhYSM9R0Q,Madison Beer,False
7gOdHgIoIKoe4i9Tta6qdD,Jonas Brothers,False
04gDigrS5kc9YWfZHwBETP,Maroon 5,False
3YQKmKGau1PzlVlkL1iodx,Twenty One Pilots,False
0J7U24vlOOIeMpuaO6Q85A,LP,False
6L1XC7NrmgWRlwAeLJvVtA,Sam Fischer,False
5JZ7CnR6gTvEMKX4g70Amv,Lauv,False
1bqxdqvUtPWZri43cKHac8,MAX,False
6wPhSqRtPu1UhRCDX5yaDJ,The Pussycat Dolls,False
57WHJIHrjOE3iAxpihhMnp,Louis Tomlinson,False
20soF34gXIwDGHOk90gla0,Jordan Suaste,False
7CajNmpbOovFoOoasH2HaY,Calvin Harris,False
0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez,False
4jpsw9CQS439N0B7SecMgf,Ant Saunders,False
7vk5e3vY1uw9plTHJAMwjN,Alan Walker,False
5LHRHt1k9lMyONurDHEdrp,Tyga,False
28B54RKpJrEmDoGSTjsfY6,Magnus Haven,False
4DAcJXcjX0zlQAZAPAx4Zb,Ben&Ben,False
2Q9c6ETFOkDDTy53U7DIgr,Maximillian,False
3FwNjtXQCdxpDOXmgJQGnG,Emman,False
7z5WFjZAIYejWy0NI5lv4T,Dan + Shay,False
1YlibpAvhJBbMZMBwN1KGv,The Juans,False
6kyw9sh7ryjy1GQdPYH3Yd,Juan Caoile,False
1SrWbIDP84JcSDr0oTBAQw,Matthaios,False
246dkjvS1zLTtiykXe5h60,Post Malone,False
0LyfQWJT6nXafLPZqxe9Of,Various Artists,False
2NjfBq1NflQcKSeiDooVjY,Tones And I,False
0vRvGUQVUjytro0xpb26bs,Arizona Zervas,False
52gTrzyF0DyfkFl1DQz9Oq,Music Hero,False
7tKpXx21KVUOR6vvDs6xtg,I Belong to the Zoo,False
3PDFGpPl4ienSn5Vwisfrh,Flow G,False
3gIRvgZssIb9aiirIg0nI3,Jeremy Zucker,False
4qFxP3qN9GsnZDOkAE6x2m,December Avenue,False
4vxaQs6vK54nK89J1VtLex,PUBLIC,False
